,Unnamed: 0.1,Fecha, Temperatura (°C), Humedad (%),Hora
426,426,28/9/2022,31.8,38.2,28/9/2022
427,427,28/9/2022,31.8,37.7,28/9/2022
428,428,28/9/2022,31.8,37.8,28/9/2022
429,429,28/9/2022,31.8,37.9,28/9/2022
430,430,28/9/2022,31.8,37.8,28/9/2022
431,431,28/9/2022,31.8,38.2,28/9/2022
432,432,28/9/2022,31.9,38.3,28/9/2022
433,433,28/9/2022,31.9,38.2,28/9/2022
434,434,28/9/2022,31.9,38.2,28/9/2022
435,435,28/9/2022,31.9,38.1,28/9/2022
436,436,28/9/2022,32.0,38.0,28/9/2022
437,437,28/9/2022,32.0,38.1,28/9/2022
438,438,28/9/2022,32.0,38.2,28/9/2022
439,439,28/9/2022,32.0,37.6,28/9/2022
440,440,28/9/2022,32.0,38.1,28/9/2022
441,441,28/9/2022,32.1,38.3,28/9/2022
442,442,28/9/2022,32.1,38.0,28/9/2022
443,443,28/9/2022,32.1,37.3,28/9/2022
444,444,28/9/2022,32.2,37.3,28/9/2022
445,445,28/9/2022,32.2,37.7,28/9/2022
446,446,28/9/2022,32.2,37.9,28/9/2022
447,447,28/9/2022,32.2,38.3,28/9/2022
448,448,28/9/2022,32.1,38.4,28/9/2022
449,449,28/9/2022,32.0,38.2,28/9/2022
450,450,28/9/2022,32.0,38.1,28/9/2022
451,451,28/9/2022,32.0,38.2,28/9/2022
452,452,28/9/2022,31.9,38.3,28/9/2022
453,453,28/9/2022,31.8,38.2,28/9/2022
454,454,28/9/2022,31.7,38.2,28/9/2022
455,455,28/9/2022,31.8,43.6,28/9/2022
456,456,28/9/2022,31.6,42.0,28/9/2022
457,457,28/9/2022,31.7,50.3,28/9/2022
458,458,28/9/2022,31.7,46.1,28/9/2022
459,459,28/9/2022,31.7,48.8,28/9/2022
460,460,28/9/2022,31.6,53.8,28/9/2022
461,461,28/9/2022,31.7,51.2,28/9/2022
462,462,28/9/2022,31.7,47.3,28/9/2022
463,463,28/9/2022,31.6,42.2,28/9/2022
464,464,28/9/2022,31.6,43.1,28/9/2022
465,465,28/9/2022,31.6,44.7,28/9/2022
466,466,28/9/2022,31.6,46.8,28/9/2022
467,467,28/9/2022,31.7,41.7,28/9/2022
468,468,28/9/2022,31.7,41.1,28/9/2022
469,469,28/9/2022,31.7,40.8,28/9/2022
470,470,28/9/2022,31.6,42.6,28/9/2022
471,471,28/9/2022,31.7,42.0,28/9/2022
472,472,28/9/2022,31.6,43.9,28/9/2022
